name,crossover_T_independent,log_tunneling_10K_independent,log_tunneling_20K_independent,log_tunneling_50K_independent,log_gamow_factor_independent,BDE_est_from_length_kJmol,effective_barrier_independent_kJmol
C3H+,686.9653561832204,-35.40432072333111,-34.433830895161236,-34.06363689390572,-43.73293556384548,448.4243615931821,448.4243615931821
CH3,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3+,686.9653561832204,-35.294576725484774,-34.32794510353246,-33.95997969288448,-44.44930908725999,447.0636824932033,447.0636824932033
HNCO,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
HOCO,824.3584274198644,-21.307804765839354,-20.689256173456002,-20.51357047145266,-34.194310494190645,486.4387037767308,324.2924691844872
H2CCN,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH2CN+,686.9653561832204,-35.30404264023476,-34.33707822509454,-33.968920640820606,-44.38761546713597,447.1810491634885,447.1810491634885
H2CCO,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
H2CCO+,686.9653561832204,-35.30044902142561,-34.33361094702808,-33.96552632029215,-44.411038850063875,447.13649238567234,447.13649238567234
C2H3,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H3+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2N2H+,778.5607370076495,-31.920806094286142,-30.929624100093832,-30.54769130195029,-42.57948748133345,455.72190001504066,455.72190001504066
t-C3H2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
c-C3H2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
c-C3H2+,686.9653561832204,-35.29577535319047,-34.32910159102345,-33.96111184681289,-44.44149810351328,447.07854414584466,447.07854414584466
HC3N+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H,686.9653561832204,-35.39282797559846,-34.42274218477488,-34.052781630773,-43.80807163247372,448.2818691897719,448.2818691897719
C4H-,686.9653561832204,-35.39282797559846,-34.42274218477488,-34.052781630773,-43.80807163247372,448.2818691897719,448.2818691897719
C4H+,686.9653561832204,-35.39282901485612,-34.4227431874965,-34.05278261238527,-43.80806483934152,448.281882074994,448.281882074994
CH2NH+,686.9653561832204,-35.267419842780924,-34.30174298119805,-33.934328844649144,-44.62620114037369,446.7269657061277,446.7269657061277
HCOOH,824.3584274198644,-21.286059959928114,-20.668422728530768,-20.493199699937186,-34.261647275401735,485.95638007598694,323.970920050658
CH2OH,824.3584274198644,-21.34102024148296,-20.721079559930473,-20.544686528321655,-34.09127761502246,487.17544126722777,324.7836275114852
CH2PH,686.9653561832204,-35.196396247025895,-34.23321641787203,-33.86724364303439,-45.08811563293047,445.84633333292516,445.84633333292516
CH2NH,778.5607370076495,-31.92798973578698,-30.93652379123576,-30.554426160489033,-42.56755805417706,455.8220409565289,455.8220409565289
CH3O,686.9653561832204,-23.227973688592943,-22.68659440216521,-22.547449598915293,-36.925968503602824,445.58519199752226,297.0567946650148
CH2SH,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH4,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3CN,686.9653561832204,-35.22843520015831,-34.26412894504596,-33.897506037701504,-44.87987234919314,446.24359178497207,446.24359178497207
CH3CN+,686.9653561832204,-35.2293876665914,-34.26504792483424,-33.898405688333725,-44.873678398334455,446.2554015730545,446.2554015730545
CH2CHO,686.9653561832204,-23.270558949998087,-22.727674960857833,-22.587822146998114,-36.584964247928156,446.3820408793247,297.58802725288314
CH3CO+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H4,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H4+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
HC3NH+,778.5607370076495,-32.22771549318302,-31.224402910572106,-30.835422448735237,-42.06615301552556,460.0,460.0
HCCCHO,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
c-C3H2O,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH2CCH,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
c-C3H3+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H2+,686.9653561832204,-35.39661444709985,-34.426395539473425,-34.05635807409465,-43.78331981251629,448.3288156753026,448.3288156753026
C5H,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C5H-,686.9653561832204,-35.392167754959765,-34.422105174802084,-34.05215803114032,-43.81238713569061,448.2736834523273,448.2736834523273
C5H+,686.9653561832204,-35.39216920917335,-34.42210657789145,-34.0521594046919,-43.81237763038482,448.27370148237867,448.27370148237867
CH2NH2,686.9653561832204,-35.27189595479116,-34.306061724984914,-33.93855673076161,-44.59705541457938,446.78246499837064,446.78246499837064
CH3CO,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3CS+,686.9653561832204,-35.22874520207296,-34.26442804796747,-33.897798849519674,-44.877856407042756,446.2474355501528,446.2474355501528
CH3NH,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3O2+,686.9653561832204,-23.24043872664955,-22.69861899976592,-22.55926707443156,-36.82622493631227,445.8184385644962,297.2122923763308
CH3SH,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH2NH2+,778.5607370076495,-32.06153757537733,-31.064792987151407,-30.679629901625457,-42.34503271059051,457.6836629696159,457.6836629696159
CH3OH,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
CH3NCO,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3NCO+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3CNH+,686.9653561832204,-35.22905739088255,-34.26472926089862,-33.898093726956304,-44.87582622365571,446.25130643060373,446.25130643060373
CH3CHO,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H4O+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C2H5,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C3H2CN,686.9653561832204,-35.28659952250701,-34.320248355907324,-33.952444887867344,-44.50128589743257,446.96477388224736,446.96477388224736
CH2CHCN,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C3H3N+,686.9653561832204,-35.2933931342374,-34.32680312387863,-33.95886174137883,-44.457021796472056,447.0490072701099,447.0490072701099
CH2CCH2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3CCH,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C3H4+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H3,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H3+,686.9653561832204,-35.28985149662733,-34.323385999946865,-33.95551651548938,-44.4800986810911,447.0050948441077,447.0050948441077
C4N2H+,778.5607370076495,-32.06281568871388,-31.066020582842132,-30.68082814928498,-42.342896167443406,457.7014790506359,457.7014790506359
C5H2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C5H2+,686.9653561832204,-35.284296585560455,-34.31802638369146,-33.950269665511634,-44.51628865373336,446.9362199283897,446.9362199283897
HC5N+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C6H,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C6H-,686.9653561832204,-35.39431268592325,-34.424174698756396,-34.05418398728257,-43.798366564197856,448.3002773458619,448.3002773458619
C6H+,686.9653561832204,-35.3943118520842,-34.42417389423169,-34.05418319969489,-43.798372014858565,448.3002670075247,448.3002670075247
CH3CHS,686.9653561832204,-35.234237873388395,-34.26972760909054,-33.902986941922684,-44.842134312091716,446.3155400269897,446.3155400269897
CH3SH2+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3NH2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3OH2+,686.9653561832204,-23.278569154719595,-22.735402136356928,-22.595416019763583,-36.520745363756674,446.5319237054945,297.68794913699634
C2H3NH2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3NCOH+,778.5607370076495,-32.16869332461725,-31.167713476779827,-30.780089216850797,-42.16545540214353,459.1773136757456,459.1773136757456
CH3CHOH+,686.9653561832204,-23.23574503365717,-22.694091153806607,-22.55481723150444,-36.86379014410895,445.73061015067833,297.15374010045224
C2H6,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C3H3NH+,686.9653561832204,-35.28014653532542,-34.314022237606544,-33.946349764390355,-44.54332191412617,446.884763690781,446.884763690781
C2H3CHO,686.9653561832204,-23.230602599239102,-22.68913042256,-22.5499419448464,-36.904937207006995,445.63438452216656,297.08958968144435
C3H5,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C3H5+,686.9653561832204,-35.278110526132494,-34.31205780887116,-33.944426665422924,-44.5565831098672,446.85951930211024,446.85951930211024
C4H2CN,686.9653561832204,-35.2855501668376,-34.31923589259907,-33.951453726661704,-44.508122183923376,446.951762997545,446.951762997545
C4H4,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H4+,686.9653561832204,-35.27553127678204,-34.30956923887041,-33.94199045197782,-44.57338139114832,446.8275392778823,446.8275392778823
HC5NH+,686.9653561832204,-35.394263609628155,-34.42412734778274,-34.05413763315166,-43.798687367146954,448.29966887438474,448.29966887438474
C5H3,686.9653561832204,-35.28736622346905,-34.320988101852,-33.953169069571764,-44.49629089260988,446.97428014888516,446.97428014888516
C5H3+,686.9653561832204,-35.28736679796138,-34.3209886561468,-33.95316961220418,-44.49628714978649,446.97428727197035,446.97428727197035
C6H2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C6H2+,686.9653561832204,-35.39599125318326,-34.425794254486696,-34.05576944762393,-43.78739377530864,448.3210890229805,448.3210890229805
C7H,686.9653561832204,-35.39409577315364,-34.4239654117511,-34.05397910622971,-43.79978448040541,448.29758795708784,448.29758795708784
C7H-,686.9653561832204,-35.394093887134105,-34.423963592036294,-34.05397732482389,-43.7997968089029,448.2975645733104,448.2975645733104
C7H+,686.9653561832204,-35.394094115589034,-34.423963812459675,-34.05397754060687,-43.79979531554313,448.2975674058043,448.2975674058043
CH3C3N,686.9653561832204,-35.2277612342142,-34.2634786742826,-33.89686944420166,-44.884255081267156,446.23523516801663,446.23523516801663
CH3CHSH+,686.9653561832204,-35.22847235332973,-34.26416479199262,-33.89754113067133,-44.87963074319186,446.2440524533308,446.2440524533308
CH3COCN,686.9653561832204,-35.229805795410456,-34.26545135315826,-33.89880063120616,-44.87095922096694,446.26058601991565,446.26058601991565
CH3OCH2,686.9653561832204,-23.26382905254223,-22.721182855379297,-22.581442006759612,-36.63889998402487,446.25611379525196,297.5040758635013
CH3NH3+,778.5607370076495,-31.895658676245482,-30.905470699496405,-30.524114873488443,-42.62121571124072,455.3713392767935,455.3713392767935
COOCH4+,824.3584274198644,-21.28623316709718,-20.668588676244713,-20.49336196346019,-34.2611112661881,485.96022203888504,323.9734813592567
CH3CH2OH,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
CH3CHCH2,686.9653561832204,-35.22724313598171,-34.26297879126378,-33.89638007527894,-44.887624158295885,446.2288111797161,446.2288111797161
C3H6+,686.9653561832204,-35.28145610508063,-34.31528576653306,-33.94758670959095,-44.534791809275326,446.9010009796482,446.9010009796482
H3C4NH+,686.9653561832204,-35.22771536510634,-34.26343441783328,-33.89682611860447,-44.88455336004002,446.2346664291747,446.2346664291747
C4H5,686.9653561832204,-35.22833357482976,-34.26403089264319,-33.89741004765606,-44.88053321432896,446.242331715573,446.242331715573
C4H5+,686.9653561832204,-35.227773493381505,-34.26349050244412,-33.896881023579766,-44.88417536197691,446.2353871715082,446.2353871715082
C5H3N+,686.9653561832204,-35.227738321542525,-34.263456567170834,-33.8968478020719,-44.884404078411244,446.2349510699179,446.2349510699179
C5H4+,686.9653561832204,-35.2923918899252,-34.325837080389796,-33.95791602408202,-44.463546043668174,447.0365929429114,447.0365929429114
C6H3+,686.9653561832204,-35.2872386381271,-34.32086500204601,-33.95304855978781,-44.49712211079527,446.972698228149,446.972698228149
C7H2,686.9653561832204,-35.29070859602221,-34.32421296620633,-33.95632608208156,-44.47451415947407,447.01572194229686,447.01572194229686
C7H2+,686.9653561832204,-35.286164036640805,-34.31982818048417,-33.95203355289788,-44.504123004885415,446.959374325187,446.959374325187
HC7N+,686.9653561832204,-35.3951730486457,-34.42500481465564,-34.05499662736314,-43.79274244750282,448.3109445345084,448.3109445345084
C8H,686.9653561832204,-35.39518207921872,-34.425013527750814,-34.055005157027516,-43.79268341462824,448.3110564998571,448.3110564998571
C8H-,686.9653561832204,-35.39518207921872,-34.425013527750814,-34.055005157027516,-43.79268341462824,448.3110564998571,448.3110564998571
C8H+,686.9653561832204,-35.39518206353048,-34.42501351261408,-34.05500514220944,-43.79268351718262,448.31105630534626,448.31105630534626
CH3C4H,686.9653561832204,-35.22772455402092,-34.2634432836855,-33.89683479797998,-44.88449360617295,446.23478036408414,446.23478036408414
CH3OCH3,686.9653561832204,-23.262112035707354,-22.71952650713804,-22.579814219958752,-36.65265801106973,446.2239855760764,297.4826570507176
CH3OCH3+,686.9653561832204,-23.262112029940862,-22.719526501575302,-22.579814214491936,-36.652658057273264,446.22398546817584,297.4826569787839
C2H5OH2+,824.3584274198644,-21.184166789438862,-20.570800254131637,-20.397741142942078,-34.57596757900368,483.6961507965949,322.46410053106325
CH3COCH3,686.9653561832204,-35.23141631313352,-34.267005248618645,-33.90032184284731,-44.86048536023779,446.2805550828799,446.2805550828799
C2H6CO+,686.9653561832204,-35.23141631313352,-34.267005248618645,-33.90032184284731,-44.86048536023779,446.2805550828799,446.2805550828799
C3H5CN,686.9653561832204,-35.218249870311624,-34.25430170986903,-33.88788549513087,-44.94609660837822,446.11730196782503,446.11730196782503
C2H5CHO,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C3H7,686.9653561832204,-35.220865374143,-34.256825257998365,-33.890355967513486,-44.92909282112989,446.1497321320812,446.1497321320812
C3H7+,686.9653561832204,-35.221068559746584,-34.25702130001998,-33.890547886309754,-44.927771822122,446.1522514705377,446.1522514705377
CH2CHCHCH2,686.9653561832204,-35.26279221684266,-34.29727805055592,-33.92995784481567,-44.656329129124465,446.6695877060072,446.6695877060072
C4H6+,686.9653561832204,-35.260482293174356,-34.29504933789118,-33.927776017717186,-44.67136616509283,446.64094689619793,446.64094689619793
C5H4N+,686.9653561832204,-35.22780538286628,-34.26352127076367,-33.89691114474474,-44.88396798991032,446.2357825746278,446.2357825746278
C5H5,686.9653561832204,-35.262021559964126,-34.2965344879937,-33.92922992469112,-44.66134603739972,446.6600323117296,446.6600323117296
C5H5+,686.9653561832204,-35.227725002413436,-34.263443716313525,-33.89683522150849,-44.88449069035599,446.2347859237794,446.2347859237794
C6H4+,686.9653561832204,-35.28752372367509,-34.32114006480119,-33.95331783521539,-44.49526477457468,446.9762329816019,446.9762329816019
C7H2N+,778.5607370076495,-32.06991900044014,-31.072843135441445,-30.68748759217234,-42.33101962764247,457.800494497859,457.800494497859
C7H3+,686.9653561832204,-35.287074392642936,-34.320706530963925,-33.952893422937365,-44.498192164821305,446.97066176106057,446.97066176106057
C8H2,686.9653561832204,-35.39583596559104,-34.42564442616697,-34.0556227735493,-43.78840891390618,448.31916369386846,448.31916369386846
C8H2+,686.9653561832204,-35.395836748519955,-34.42564518157132,-34.055623513050584,-43.788403795793236,448.31917340099204,448.31917340099204
C9H,686.9653561832204,-35.39468085584355,-34.42452992533187,-34.054531735544444,-43.79595988773545,448.3048420930463,448.3048420930463
C9H-,686.9653561832204,-35.394679827560196,-34.42452893319874,-34.05453076429795,-43.7959666095218,448.3048293438969,448.3048293438969
C9H+,686.9653561832204,-35.39468026590708,-34.42452935613513,-34.05453117833058,-43.79596374409186,448.3048347787312,448.3048347787312
CH3C5N,686.9653561832204,-35.2277509612323,-34.26346876247651,-33.89685974087201,-44.8843218847061,446.23510779157397,446.23510779157397
CH3OCH4+,824.3584274198644,-21.180145967371544,-20.56694796486765,-20.393974104550583,-34.58833002893232,483.606955239939,322.404636826626
C10H,686.9653561832204,-35.39545982516335,-34.42528150928947,-34.05526749693068,-43.79086778070123,448.31450012629574,448.31450012629574
C10H-,686.9653561832204,-35.39545982516335,-34.42528150928947,-34.05526749693068,-43.79086778070123,448.31450012629574,448.31450012629574
C10H+,686.9653561832204,-35.39545973126723,-34.42528141869435,-34.05526740824279,-43.790868394505935,448.31449896212666,448.31449896212666
C3H6OH+,686.9653561832204,-35.234309151351695,-34.26979638108038,-33.9030542673695,-44.84167070873093,446.3164238126005,446.3164238126005
C3H8,686.9653561832204,-35.219272282501436,-34.25528817615259,-33.888851213958205,-44.93944991817975,446.1299790680133,446.1299790680133
C4H7,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C5H6,686.9653561832204,-35.22716881869438,-34.26290708681185,-33.896309878992405,-44.88810742250617,446.227889706911,446.227889706911
H3C6NH+,686.9653561832204,-35.227732836643156,-34.263451275108665,-33.89684262131843,-44.88443974574785,446.2348830617212,446.2348830617212
c-C6H5,686.9653561832204,-35.275691601813094,-34.309723927309804,-33.942141885977804,-44.572337256814514,446.82952714324705,446.82952714324705
C6H5+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
H3C7N+,686.9653561832204,-35.22773726043725,-34.26345554337173,-33.89684679980651,-44.88441097859278,446.2349379130939,446.2349379130939
C7H4,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C7H4+,686.9653561832204,-35.291687405881234,-34.32515736395254,-33.95725060926023,-44.468136436990754,447.0278581138452,447.0278581138452
C8H3+,686.9653561832204,-35.287080455393955,-34.320712380565936,-33.95289914946381,-44.49815266629195,446.9707369326451,446.9707369326451
C9H2,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C9H2+,686.9653561832204,-35.286671343725025,-34.320317652096044,-33.952512726068385,-44.50081799215916,446.9656643881449,446.9656643881449
C9HN+,686.9653561832204,-35.39545920868333,-34.425280914482364,-34.055266914645664,-43.7908718106677,448.31449248288357,448.31449248288357
CH3C6H,686.9653561832204,-35.227732961785755,-34.263451395851526,-33.89684273952169,-44.884438931967566,446.23488461338553,446.23488461338553
C10H2,686.9653561832204,-35.395780755792885,-34.4255911573181,-34.05557062613669,-43.78876982756606,448.3184791766197,448.3184791766197
C10H2+,686.9653561832204,-35.39578159984273,-34.425591971694644,-34.05557142336868,-43.78876430990646,448.3184896415503,448.3184896415503
C4H8,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H8+,686.9653561832204,-35.21691073905111,-34.253009659723226,-33.886620619334025,-44.95480196228479,446.10069779579993,446.10069779579993
C6H6,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C7H5+,686.9653561832204,-35.22773149171078,-34.263449977461185,-33.89684135096454,-44.88444849160597,446.23486638567636,446.23486638567636
C8H4+,686.9653561832204,-35.29166206151922,-34.32513291062457,-33.95722667044297,-44.46830157807628,447.02754387152976,447.02754387152976
C9H2N+,778.5607370076495,-32.06965972385747,-31.072594106778375,-30.687244517249272,-42.33145320158232,457.7968803594971,457.7968803594971
C9H3+,686.9653561832204,-35.22774255139914,-34.263460648314854,-33.896851797376655,-44.88437657239274,446.23500351662705,446.23500351662705
CH3C7N,686.9653561832204,-35.22774223385641,-34.263460341936245,-33.89685149744216,-44.88437863731763,446.23499957936116,446.23499957936116
C4H9,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C4H9+,686.9653561832204,-35.217444290194656,-34.253524452297924,-33.88712458483518,-44.95133352509543,446.10731341028827,446.10731341028827
C5H8,686.9653561832204,-35.227127767266914,-34.26286747866398,-33.896271103925564,-44.88837436779454,446.2273807032036,446.2273807032036
C8H4N+,686.9653561832204,-35.22773473649432,-34.263453108165194,-33.89684441582004,-44.88442739134996,446.23490661829845,446.23490661829845
C8H5+,686.9653561832204,-35.2277336413649,-34.263452051538145,-33.89684338141717,-44.88443451278387,446.234893039603,446.234893039603
C9H3N+,686.9653561832204,-35.22773703346584,-34.26345532438014,-33.896846585421,-44.88441245454811,446.2349350988368,446.2349350988368
C9H4+,686.9653561832204,-35.227735011803134,-34.26345337379473,-33.89684467586254,-44.884425601065345,446.2349100318987,446.2349100318987
C4H10,686.9653561832204,-35.215670010379846,-34.25181255255168,-33.88544868949507,-44.96286729845653,446.08531373165545,446.08531373165545
C5H9,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C5H9+,686.9653561832204,-35.2171453089331,-34.25323598260666,-33.886842182217784,-44.95327710926004,446.1036062779692,446.1036062779692
C6H8,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C9H5+,686.9653561832204,-35.227734282126086,-34.26345266977156,-33.89684398664719,-44.88443034602668,446.2349009845096,446.2349009845096
C5H10,686.9653561832204,-35.21361540873188,-34.249830186563514,-33.88350801587553,-44.976222509949636,446.0598382657049,446.0598382657049
C5H11,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C5H12,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C6H12,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C6H13,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C6H14,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C14H10,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
C14H10+,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
H2O,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
H2O+,824.3584274198644,-21.46837336808709,-20.84309550639723,-20.663983925227992,-33.69427771976918,490.0,326.6666666666667
HCN,686.9653561832204,-35.25168942794757,-34.28656560786723,-33.91947075501021,-44.72859558365914,446.5319237054945,446.5319237054945
